dpt,flux,tonnage,annee,mois
3,ECRAN,86.094,2012,3
3,GEMHF,277.061,2012,3
3,GEMF,125.797,2012,3
3,LAMPE,4.172,2011,3
3,LAMPE,5.742,2011,3
3,LAMPE,0.000,2011,3
3,LAMPE,5.438,2011,3
3,PAM,4.159,2012,3
3,ECRAN,33.148,2012,3
3,PAM,630.966,2012,3
3,GEMHF,654.656,2012,3
3,GEMF,393.371,2012,3
3,ECRAN,607.017,2012,3
3,PAM,14.500,2012,3
3,GEMHF,0.770,2012,3
3,GEMF,1.320,2012,3
3,ECRAN,4.410,2012,3
3,GEMHF,0.990,2011,3
3,GEMHF,653.310,2011,3
3,GEMHF,1.540,2011,3
3,PAM,10.550,2011,3
3,PAM,456.830,2011,3
3,PAM,0.880,2011,3
3,PAM,27.904,2012,2
3,ECRAN,31.784,2012,2
3,GEMHF,30.193,2012,2
3,GEMF,11.220,2012,2
3,PAM,32.748,2012,2
3,ECRAN,130.798,2012,2
3,GEMHF,274.869,2012,2
3,GEMF,143.304,2012,2
3,LAMPE,5.546,2012,3
3,LAMPE,6.491,2012,3
3,LAMPE,0.000,2012,3
3,LAMPE,5.970,2012,3
3,ECRAN,4.630,2012,3
3,GEMF,4.350,2012,3
3,GEMHF,1.930,2012,3
3,PAM,9.710,2012,3
3,ECRAN,869.050,2012,3
3,GEMF,420.980,2012,3
3,GEMHF,654.250,2012,3
3,PAM,680.020,2012,3
3,ECRAN,31.790,2012,3
3,GEMF,0.000,2012,3
3,GEMHF,0.000,2012,3
3,PAM,15.390,2012,3
4,ND,241.000,2010,2
4,ND,65.000,2010,2
4,ND,0.000,2010,2
4,ND,0.000,2010,2
4,ND,2.882,2010,2
4,ND,0.854,2010,2
4,PAM,0.000,2010,3
4,LAMPE,1.026,2010,3
4,LAMPE,1.934,2010,3
4,LAMPE,0.000,2010,3
4,LAMPE,0.073,2010,3
4,PAM,10.514,2011,3
4,PAM,128.723,2011,3
4,GEMHF,53.052,2011,3
4,GEMHF,249.852,2011,3
4,GEMF,29.851,2011,3
4,GEMF,157.237,2011,3
4,ECRAN,16.153,2011,3
4,ECRAN,193.402,2011,3
4,PAM,157.768,2012,3
4,ECRAN,225.319,2012,3
4,GEMHF,329.703,2012,3
4,GEMF,182.989,2012,3
4,PAM,11.914,2012,3
4,ECRAN,23.326,2012,3
4,GEMHF,52.100,2012,3
4,GEMF,27.777,2012,3
4,LAMPE,0.854,2011,3
4,LAMPE,1.936,2011,3
4,LAMPE,0.000,2011,3
4,LAMPE,0.551,2011,3
4,PAM,203.507,2012,2
4,ECRAN,368.293,2012,2
4,GEMHF,355.718,2012,2
4,GEMF,215.146,2012,2
4,PAM,8.769,2012,2
4,ECRAN,23.331,2012,2
4,GEMHF,59.782,2012,2
4,GEMF,30.898,2012,2
4,LAMPE,1.811,2012,3
4,LAMPE,1.665,2012,3
4,LAMPE,0.000,2012,3
4,LAMPE,0.393,2012,3
4,ECRAN,0.000,2012,3
4,GEMF,0.580,2012,3
4,GEMHF,0.000,2012,3
4,PAM,0.460,2012,3
5,ND,3.000,2010,2
5,ND,500.000,2010,2
5,ND,118.000,2010,2
5,ND,0.000,2010,2
5,ND,0.000,2010,2
5,ND,2.643,2010,2
5,ND,1.339,2010,2
5,LAMPE,1.425,2010,3
5,LAMPE,2.916,2010,3
5,LAMPE,0.000,2010,3
5,LAMPE,0.000,2010,3
5,PAM,13.330,2011,3
5,PAM,123.002,2011,3
5,GEMHF,111.751,2011,3
5,GEMHF,387.400,2011,3
5,GEMF,52.394,2011,3
5,GEMF,178.892,2011,3
5,ECRAN,15.588,2011,3
5,ECRAN,151.137,2011,3
5,PAM,222.880,2012,3
5,ECRAN,271.295,2012,3
5,GEMHF,558.012,2012,3
5,GEMF,247.036,2012,3
5,PAM,11.148,2012,3
5,ECRAN,15.947,2012,3
5,GEMHF,114.464,2012,3
5,GEMF,42.743,2012,3
5,LAMPE,1.841,2011,3
5,LAMPE,3.695,2011,3
5,LAMPE,0.000,2011,3
5,LAMPE,0.000,2011,3
5,PAM,300.056,2012,2
5,ECRAN,437.245,2012,2
5,GEMHF,686.375,2012,2
5,GEMF,310.086,2012,2
5,PAM,11.247,2012,2
5,ECRAN,17.968,2012,2
5,GEMHF,98.803,2012,2
5,GEMF,34.107,2012,2
5,LAMPE,3.305,2012,3
5,LAMPE,3.633,2012,3
5,LAMPE,0.000,2012,3
5,LAMPE,0.000,2012,3
5,ECRAN,0.000,2012,3
5,GEMF,0.000,2012,3
5,GEMHF,0.170,2012,3
5,PAM,0.520,2012,3
6,ND,157.000,2010,2
6,ND,6262.000,2010,2
6,ND,3438.000,2010,2
6,ND,253.226,2010,2
6,ND,425.685,2010,2
6,ND,28.847,2010,2
6,ND,9.954,2010,2
6,ND,402.560,2011,3
6,GEMHF,0.019,2010,3
6,LAMPE,2.412,2010,3
6,LAMPE,19.371,2010,3
6,LAMPE,0.000,2010,3
6,LAMPE,11.683,2010,3
6,PAM,4.959,2012,3
6,ECRAN,1.239,2012,3
6,GEMHF,0.475,2012,3
6,GEMF,0.040,2012,3
6,GEMF,0.088,2010,3
6,ECRAN,0.155,2010,3
6,PAM,0.832,2010,3
6,PAM,0.000,2011,3
6,PAM,55.152,2011,3
6,PAM,565.516,2011,3
6,PAM,25.003,2011,3
6,GEMHF,0.000,2011,3
6,GEMHF,1939.510,2011,3
6,GEMHF,1464.711,2011,3
6,GEMHF,16.975,2011,3
6,GEMF,0.000,2011,3
6,GEMF,830.674,2011,3
6,GEMF,730.760,2011,3
6,GEMF,7.296,2011,3
6,ECRAN,0.000,2011,3
6,ECRAN,323.353,2011,3
6,ECRAN,779.969,2011,3
6,ECRAN,18.688,2011,3
6,PAM,26.500,2012,3
6,ECRAN,25.077,2012,3
6,GEMHF,29.381,2012,3
6,GEMF,9.524,2012,3
6,PAM,617.218,2012,3
6,ECRAN,974.929,2012,3
6,GEMHF,1676.803,2012,3
6,GEMF,836.196,2012,3
6,PAM,66.086,2012,3
6,ECRAN,362.339,2012,3
6,GEMHF,2008.002,2012,3
6,GEMF,887.223,2012,3
6,LAMPE,2.944,2011,3
6,LAMPE,23.168,2011,3
6,LAMPE,0.000,2011,3
6,LAMPE,14.516,2011,3
6,ECRAN,0.116,2011,3
6,GEMF,0.318,2011,3
6,GEMHF,0.847,2011,3
6,PAM,0.964,2011,3
6,PAM,6.930,2012,3
6,GEMHF,3.772,2012,3
6,GEMF,0.105,2012,3
6,ECRAN,1.009,2012,3
6,PAM,4.421,2011,3
6,PAM,26.657,2012,2
6,ECRAN,25.695,2012,2
6,GEMHF,25.487,2012,2
6,GEMF,11.004,2012,2
6,PAM,649.321,2012,2
6,ECRAN,1244.770,2012,2
6,GEMHF,1503.340,2012,2
6,GEMF,800.493,2012,2
6,PAM,81.276,2012,2
6,ECRAN,488.356,2012,2
6,GEMHF,2138.760,2012,2
6,GEMF,939.219,2012,2
6,LAMPE,3.558,2012,3
6,LAMPE,27.852,2012,3
6,LAMPE,0.000,2012,3
6,LAMPE,19.251,2012,3
6,ECRAN,0.680,2012,3
6,GEMF,0.150,2012,3
6,GEMHF,1.910,2012,3
6,PAM,7.440,2012,3
6,ECRAN,0.252,2012,3
6,GEMF,0.038,2012,3
6,PAM,2.534,2012,3
7,ND,1.000,2010,2
7,ND,1345.000,2010,2
7,ND,147.000,2010,2
7,ND,0.000,2010,2
7,ND,0.000,2010,2
7,ND,5.265,2010,2
7,ND,0.349,2010,2
7,GEMF,0.000,2010,3
7,LAMPE,1.772,2010,3
7,LAMPE,4.430,2010,3
7,LAMPE,0.000,2010,3
7,LAMPE,1.671,2010,3
7,PAM,0.280,2012,3
7,GEMF,0.140,2012,3
7,PAM,0.000,2011,3
7,PAM,11.503,2011,3
7,PAM,295.503,2011,3
7,PAM,27.112,2011,3
7,GEMHF,0.000,2011,3
7,GEMHF,153.858,2011,3
7,GEMHF,563.113,2011,3
7,GEMHF,39.933,2011,3
7,GEMF,0.000,2011,3
7,GEMF,74.642,2011,3
7,GEMF,289.421,2011,3
7,GEMF,19.360,2011,3
7,ECRAN,0.000,2011,3
7,ECRAN,48.242,2011,3
7,ECRAN,313.242,2011,3
7,ECRAN,26.749,2011,3
7,PAM,36.455,2012,3
7,ECRAN,27.372,2012,3
7,GEMHF,40.542,2012,3
7,GEMF,16.719,2012,3
7,PAM,369.148,2012,3
7,ECRAN,403.777,2012,3
7,GEMHF,576.763,2012,3
7,GEMF,326.432,2012,3
7,PAM,25.360,2012,3
7,ECRAN,63.005,2012,3
7,GEMHF,173.076,2012,3
7,GEMF,86.268,2012,3
7,LAMPE,2.576,2011,3
7,LAMPE,5.058,2011,3
7,LAMPE,0.000,2011,3
7,LAMPE,1.974,2011,3
7,PAM,0.720,2012,3
7,ECRAN,0.140,2012,3
7,PAM,35.998,2012,2
7,ECRAN,38.235,2012,2
7,GEMHF,41.718,2012,2
7,GEMF,18.574,2012,2
7,PAM,420.218,2012,2
7,ECRAN,533.277,2012,2
7,GEMHF,564.178,2012,2
7,GEMF,365.083,2012,2
7,PAM,27.545,2012,2
7,ECRAN,87.409,2012,2
7,GEMHF,157.009,2012,2
7,GEMF,76.504,2012,2
7,LAMPE,4.022,2012,3
7,LAMPE,5.544,2012,3
7,LAMPE,0.000,2012,3
7,LAMPE,1.302,2012,3
7,ECRAN,0.000,2012,3
7,GEMF,0.230,2012,3
7,GEMHF,0.000,2012,3
7,PAM,1.710,2012,3
8,ND,7.000,2010,2
8,ND,315.000,2010,2
8,ND,273.000,2010,2
8,ND,270.969,2010,2
8,ND,0.000,2010,2
8,ND,8.574,2010,2
8,ND,5.409,2010,2
8,ND,1046.920,2011,3
8,ECRAN,43.040,2011,3
8,ECRAN,0.000,2010,3
8,GEMHF,406.320,2010,3
